Point,Lat,Lon,Weight
17496,21.25,-157.82,0.0017
17497,21.25,-157.78,0.0025
17499,21.25,-157.7,0.0007
17567,21.29,-158.1,0.0062
17568,21.29,-158.06,0.0054
17569,21.29,-158.02,0.0017
17571,21.29,-157.94,0.0016
17572,21.29,-157.9,0.001
17573,21.29,-157.86,0.0064
17574,21.29,-157.82,0.0131
17575,21.29,-157.78,0.0073
17576,21.29,-157.74,0.003
17577,21.29,-157.7,0.0082
17578,21.29,-157.66,0.0045
17643,21.33,-158.14,0.002
17644,21.33,-158.1,0.0205
17645,21.33,-158.06,0.0231
17646,21.33,-158.02,0.0239
17647,21.33,-157.98,0.0153
17648,21.33,-157.94,0.0202
17649,21.33,-157.9,0.0136
17650,21.33,-157.86,0.0153
17651,21.33,-157.82,0.0046
17652,21.33,-157.78,0.0011
17653,21.33,-157.74,0.0058
17654,21.33,-157.7,0.0063
17655,21.33,-157.66,0.0001
17723,21.37,-158.14,0.0042
17724,21.37,-158.1,0.0058
17725,21.37,-158.06,0.017
17726,21.37,-158.02,0.016
17727,21.37,-157.98,0.012
17728,21.37,-157.94,0.0151
17729,21.37,-157.9,0.0151
17730,21.37,-157.86,0.0026
17731,21.37,-157.82,0.0039
17732,21.37,-157.78,0.0104
17733,21.37,-157.74,0.0147
17734,21.37,-157.7,0.0047
17804,21.41,-158.18,0.0065
17805,21.41,-158.14,0.013
17806,21.41,-158.1,0.0008
17807,21.41,-158.06,0.0193
17808,21.41,-158.02,0.0227
17809,21.41,-157.98,0.0214
17810,21.41,-157.94,0.0158
17811,21.41,-157.9,0.0027
17812,21.41,-157.86,0.0003
17813,21.41,-157.82,0.01
17814,21.41,-157.78,0.0104
17815,21.41,-157.74,0.0102
17816,21.41,-157.7,0.0003
17878,21.45,-158.22,0.0018
17879,21.45,-158.18,0.0136
17880,21.45,-158.14,0.0194
17881,21.45,-158.1,0.0014
17882,21.45,-158.06,0.0202
17883,21.45,-158.02,0.0233
17884,21.45,-157.98,0.0211
17885,21.45,-157.94,0.0049
17887,21.45,-157.86,0.0048
17888,21.45,-157.82,0.007
17889,21.45,-157.78,0.0038
17890,21.45,-157.74,0.009
17941,21.49,-158.22,0.0036
17942,21.49,-158.18,0.0025
17943,21.49,-158.14,0.0008
17944,21.49,-158.1,0.0152
17945,21.49,-158.06,0.023
17946,21.49,-158.02,0.0238
17947,21.49,-157.98,0.0184
17948,21.49,-157.94,0.0001
17950,21.49,-157.86,0.0075
18005,21.53,-158.22,0.0032
18006,21.53,-158.18,0.0002
18007,21.53,-158.14,0.0009
18008,21.53,-158.1,0.006
18009,21.53,-158.06,0.0218
18010,21.53,-158.02,0.0231
18011,21.53,-157.98,0.0113
18012,21.53,-157.94,0.0049
18013,21.53,-157.9,0.0019
18014,21.53,-157.86,0.0025
18015,21.53,-157.82,0.0007
18067,21.57,-158.26,0.0011
18068,21.57,-158.22,0.0036
18069,21.57,-158.18,0.0053
18070,21.57,-158.14,0.0134
18071,21.57,-158.1,0.0187
18072,21.57,-158.06,0.0188
18073,21.57,-158.02,0.0166
18074,21.57,-157.98,0.0113
18075,21.57,-157.94,0.0053
18076,21.57,-157.9,0.0027
18077,21.57,-157.86,0.0002
18143,21.61,-158.1,0.0072
18144,21.61,-158.06,0.022
18145,21.61,-158.02,0.0186
18146,21.61,-157.98,0.0083
18147,21.61,-157.94,0.0038
18148,21.61,-157.9,0.0024
18217,21.65,-158.06,0.0078
18218,21.65,-158.02,0.0146
18219,21.65,-157.98,0.0107
18220,21.65,-157.94,0.0138
18305,21.69,-158.02,0.0067
18306,21.69,-157.98,0.0132
18307,21.69,-157.94,0.0021
