Year,Month,ECRF
2023,9,22.378
2023,8,21.044
2023,7,20.594
2023,6,21.437
2023,5,22.476
2023,4,23.208
2023,3,24.781
2023,2,25.953
2023,1,27.262
2022,12,28.053
2022,11,28.468
2022,10,29.205
2022,9,29.852
2022,8,26.477
2022,7,25.791
2022,6,24.081
2022,5,23.241
2022,4,20.489
2022,3,18.629
2022,2,17.752
2022,1,16.48
2021,12,16.061
2021,11,15.767
2021,10,14.327
2021,9,14.227
2021,8,14.076
2021,7,15.014
2021,6,13.711
2021,5,13.135
2021,4,11.919
2021,3,12.304
2021,2,11.812
2021,1,11.355
